band_index,F_score,p_value
28,8.545194727839553,0.005358359099939801
94,8.486639142903986,0.005505430887396436
27,8.458813154947713,0.0055768135080414075
95,8.409130536950848,0.005706714738164545
388,8.359208344958528,0.005840476028447969
26,8.35819682782316,0.005843220377647387
96,8.337235501971938,0.005900399231075619
25,8.295206819117942,0.006016840152817034
97,8.253592218127803,0.006134536087057674
24,8.20488348037586,0.006275403306006032
98,8.170627748943325,0.006376523523128643
23,8.121177471993313,0.006525555039782822
99,8.087143753934559,0.006630267717676396
22,8.012277885538076,0.006866933277169811
100,8.000041515959358,0.0069064592630593185
225,7.94609677554043,0.007083611667970283
101,7.911256182557445,0.0072005846607859515
21,7.894274747361252,0.007258339133490061
389,7.849351418431325,0.0074135084469335935
102,7.818597436823907,0.007521763308128567
20,7.78451944056053,0.007643681600724201
103,7.7146595354059,0.007900221703057382
104,7.613331273841427,0.00828869531105861
19,7.611051977377193,0.008297663635219634
105,7.4984920098643615,0.008753634953462968
18,7.427951902033295,0.009052903508496812
106,7.384156383032026,0.009244165302024732
390,7.3655601424377055,0.009326673247903232
107,7.26891514128844,0.009768266106652136
17,7.2529846554953465,0.009843166352722576
108,7.151341134614291,0.01033568326231073
16,7.113222079353602,0.010527095774097512
224,7.056572671137786,0.010818560415677672
109,7.028115775048021,0.01096820409235535
15,7.025265392476573,0.010983314127649536
14,6.9395386749312395,0.011448275537688722
110,6.90576236669903,0.011637189291096361
391,6.888142152480708,0.011737056497374788
13,6.841198672358822,0.012007605501695395
111,6.786829402665534,0.012329283040273172
12,6.764478948440563,0.012464173785589672
11,6.699783395609797,0.012863574636093306
112,6.662925022270256,0.01309720657316878
10,6.593008648288372,0.013552911444261139
113,6.537424933108981,0.01392726732316406
9,6.498819621243578,0.014193760936477142
392,6.438033445233559,0.014624466379854135
114,6.414822713942948,0.014792592258726612
8,6.327194870105759,0.015446176340054345
115,6.284311704723586,0.015777212179580884
223,6.258081588686838,0.015983427228817345
7,6.172712634433644,0.016674776843523
116,6.154269656214041,0.016828295892242752
117,6.024357200592726,0.017953487167584162
6,6.022159335832795,0.017973202397601074
393,6.016976944668777,0.018019781190112362
118,5.896480314556078,0.01914006810961544
5,5.881613984967936,0.019283373537781114
119,5.7712385777454855,0.020384012278272398
4,5.714755000292177,0.020973151745674556
120,5.644073603224906,0.021736245637692345
394,5.604964102741495,0.02217124744044588
3,5.558565401578667,0.022699487082558374
222,5.545947255286721,0.022845469415136484
121,5.520923777210605,0.023137964894625107
2,5.429093424587262,0.024246339314927094
122,5.4080744962077025,0.02450798082601522
123,5.296266864138529,0.02595178462733296
1,5.292681341451951,0.025999575115977582
395,5.203895389620417,0.027213737992158035
124,5.188309879765207,0.027433107093050198
0,5.150002527392754,0.027980433309825962
125,5.082110085677403,0.028979612886607373
126,4.979680888856907,0.030560661224701528
221,4.918127792549811,0.03155540016955055
127,4.8728235117834835,0.03230988939498089
396,4.835108415189028,0.03295287522556131
128,4.76744939718796,0.034141326023122115
129,4.667439109591697,0.03598386508744412
130,4.569534602913064,0.037892439556960894
397,4.488973470645163,0.039545376240332594
131,4.473506763259606,0.039871591290595414
132,4.382058884826864,0.04186113471450317
220,4.366799493325967,0.0422035071932204
133,4.294583261084294,0.043865685252708
134,4.207511564857305,0.04596525261606016
398,4.133917649056565,0.04782541810179267
135,4.125892833314662,0.04803317129601109
136,4.042862246119613,0.05024157846723668
137,3.959457266143861,0.05257222215036311
219,3.8827351925474853,0.05482097385257252
138,3.8750821016864285,0.05505100856228047
399,3.801172764396852,0.05732787927949282
139,3.7914110101363097,0.057636253584696644
140,3.7090997003086694,0.060310175421659507
141,3.6318390691253275,0.0629446401400179
142,3.56056869082048,0.06548764158088947
143,3.4947364796601423,0.06793764235665234
400,3.480412441667184,0.0684840344098131
218,3.461186844967353,0.06922504957870229
144,3.431993596997389,0.07036726792639943
145,3.3745072553650846,0.07267799284361011
146,3.3193973890915687,0.07497239846667116
147,3.269768281152879,0.0771075772470614
148,3.222331275376243,0.07921178849976863
401,3.1857365312147907,0.08087874261817136
149,3.178846655547269,0.08119693877379341
150,3.1391817784850646,0.08305614757173989
151,3.1007313556479676,0.08490386690029313
217,3.094213235797058,0.08522161893916952
152,3.0652736428241636,0.08664853247068142
